Gene	p	q	HGNC_MatchType	HGNC_ApprovedSymbol	HGNC_ApprovedName	HGNC_ID	HGNC_Location
MOBKL2A	2.11E-04	8.60E-02	Previous symbol	MOB3A	MOB kinase activator 3A	HGNC:29802	19p13.3
MTA2	4.40E-04	9.26E-02	Approved symbol	MTA2	metastasis associated 1 family member 2	HGNC:7411	11q12.3
MTUS1	7.13E-04	9.91E-02	Approved symbol	MTUS1	microtubule associated scaffold protein 1	HGNC:29789	8p22
NAP1L5	1.55E-04	7.45E-02	Approved symbol	NAP1L5	nucleosome assembly protein 1 like 5	HGNC:19968	4q22.1
NAV1	3.40E-04	9.24E-02	Approved symbol	NAV1	neuron navigator 1	HGNC:15989	1q32.1
NDRG1	6.10E-04	9.37E-02	Approved symbol	NDRG1	N-myc downstream regulated 1	HGNC:7679	8q24.22
NDUFA4	5.88E-04	9.26E-02	Approved symbol	NDUFA4	"NDUFA4, mitochondrial complex associated"	HGNC:7687	7p21.3
NEO1	3.48E-04	9.24E-02	Approved symbol	NEO1	neogenin 1	HGNC:7754	15q24.1
NKIRAS2	5.64E-04	9.26E-02	Approved symbol	NKIRAS2	NFKB inhibitor interacting Ras like 2	HGNC:17898	17q21.2
PDK4	5.29E-05	4.89E-02	Approved symbol	PDK4	pyruvate dehydrogenase kinase 4	HGNC:8812	7q21.3
PFKFB4	2.09E-04	8.60E-02	Approved symbol	PFKFB4	"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4"	HGNC:8875	3p21.31
PIP4K2A	4.17E-04	9.26E-02	Approved symbol	PIP4K2A	phosphatidylinositol-5-phosphate 4-kinase type 2 alpha	HGNC:8997	10p12.2
PMP22	4.23E-04	9.26E-02	Approved symbol	PMP22	peripheral myelin protein 22	HGNC:9118	17p12
PRR18	3.70E-04	9.24E-02	Approved symbol	PRR18	proline rich 18	HGNC:28574	6q27
RALB	5.18E-05	4.89E-02	Approved symbol	RALB	RAS like proto-oncogene B	HGNC:9840	2q14.2
RDX	3.25E-04	9.24E-02	Approved symbol	RDX	radixin	HGNC:9944	11q23
RNF103	2.57E-04	8.72E-02	Approved symbol	RNF103	ring finger protein 103	HGNC:12859	2p11.2
RNF144A	2.20E-04	8.60E-02	Approved symbol	RNF144A	ring finger protein 144A	HGNC:20457	2p25.1
SCD5	1.05E-05	3.04E-02	Approved symbol	SCD5	stearoyl-CoA desaturase 5	HGNC:21088	4q21.22
SEMA6A	2.24E-05	4.04E-02	Approved symbol	SEMA6A	semaphorin 6A	HGNC:10738	5q23.1
SH3BP1	4.81E-04	9.26E-02	Approved symbol	SH3BP1	SH3 domain binding protein 1	HGNC:10824	22q13.1
SLC22A5	5.15E-04	9.26E-02	Approved symbol	SLC22A5	solute carrier family 22 member 5	HGNC:10969	5q31.1
SLC48A1	5.56E-04	9.26E-02	Approved symbol	SLC48A1	solute carrier family 48 member 1	HGNC:26035	12q13.11
SLC7A5P2	5.46E-04	9.26E-02	Approved symbol	SLC7A5P2	solute carrier family 7 member 5 pseudogene 2	HGNC:24951	16p12.2
SORCS2	3.35E-04	9.24E-02	Approved symbol	SORCS2	sortilin related VPS10 domain containing receptor 2	HGNC:16698	4p16.1
SOX10	2.10E-04	8.60E-02	Approved symbol	SOX10	SRY-box 10	HGNC:11190	22q13.1
SPDYE8P	5.03E-05	4.89E-02	Approved symbol	SPDYE8P	"speedy/RINGO cell cycle regulator family member E8, pseudogene"	HGNC:33771	7q11.23
SUMO3	5.59E-04	9.26E-02	Approved symbol	SUMO3	small ubiquitin-like modifier 3	HGNC:11124	21q22.3
SYTL2	4.51E-04	9.26E-02	Approved symbol	SYTL2	synaptotagmin like 2	HGNC:15585	11q14.1
TCERG1	6.61E-04	9.55E-02	Approved symbol	TCERG1	transcription elongation regulator 1	HGNC:15630	5q32
TNRC6C	2.16E-04	8.60E-02	Approved symbol	TNRC6C	trinucleotide repeat containing 6C	HGNC:29318	17q25.3
TOB2	6.69E-04	9.58E-02	Approved symbol	TOB2	"transducer of ERBB2, 2"	HGNC:11980	22q13.2
TRPV1	3.84E-04	9.26E-02	Approved symbol	TRPV1	transient receptor potential cation channel subfamily V member 1	HGNC:12716	17p13.2
TTYH2	4.90E-04	9.26E-02	Approved symbol	TTYH2	tweety family member 2	HGNC:13877	17q25.1
UBE2Q1	1.10E-04	6.93E-02	Approved symbol	UBE2Q1	ubiquitin conjugating enzyme E2 Q1	HGNC:15698	1q21.3
VWA1	5.45E-04	9.26E-02	Approved symbol	VWA1	von Willebrand factor A domain containing 1	HGNC:30910	1p36.33
ZDHHC8P1	3.59E-04	9.24E-02	Approved symbol	ZDHHC8P1	zinc finger DHHC-type containing 8 pseudogene 1	HGNC:26461	22q11.23
ZNF527	5.27E-04	9.26E-02	Approved symbol	ZNF527	zinc finger protein 527	HGNC:29385	19q13.12
ZNF546	4.81E-04	9.26E-02	Approved symbol	ZNF546	zinc finger protein 546	HGNC:28671	19q13.2
